P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ToryKen	TimbAby	ScafKen	0.00798641	3.30826	0.000938761	1.07113e+06	1.44638e+06	1.42346e+06
ToryNam	TimbAby	ScafKen	0.00813671	3.32297	0.000890656	1.07088e+06	1.44705e+06	1.42369e+06
ToryRSA	TimbAby	ScafKen	0.00808535	3.21783	0.00129164	1.07157e+06	1.44644e+06	1.42324e+06
ToryTan	TimbAby	ScafKen	0.00823539	3.41711	0.000632904	1.07126e+06	1.44698e+06	1.42334e+06
ToryZam	TimbAby	ScafKen	0.00832985	3.40914	0.000651692	1.07148e+06	1.44739e+06	1.42348e+06
ToryZim	TimbAby	ScafKen	0.00966134	4.01923	5.83894e-05	1.07159e+06	1.44928e+06	1.42154e+06
TscrGha	ScafKen	TimbAby	0.0861121	52.5837	2.3e-16	1.58294e+06	1.31069e+06	1.10285e+06
TimbAby	TspeBot	ScafKen	0.0266957	9.5766	2.3e-16	1.08483e+06	1.48047e+06	1.40348e+06
TimbAby	TspeCam	ScafKen	0.0261271	9.30011	2.3e-16	1.08473e+06	1.48496e+06	1.40934e+06
TimbAby	TspeCon	ScafKen	0.0274987	10.5199	2.3e-16	1.07862e+06	1.48478e+06	1.40531e+06
TimbAby	TspeDRC	ScafKen	0.0260683	9.43271	2.3e-16	1.08389e+06	1.48487e+06	1.40942e+06
TimbAby	TspeGha	ScafKen	0.0275395	10.2866	2.3e-16	1.08039e+06	1.48198e+06	1.40255e+06
TimbAby	TspeTan	ScafKen	0.025983	9.20965	2.3e-16	1.08305e+06	1.48073e+06	1.40573e+06
TimbAby	TspeZam	ScafKen	0.0262869	9.33488	2.3e-16	1.08574e+06	1.4796e+06	1.4038e+06
TstrBot	TimbAby	ScafKen	0.0670868	17.1295	2.3e-16	1.06738e+06	1.6607e+06	1.45189e+06
TstrNA-	TimbAby	ScafKen	0.0745453	19.2844	2.3e-16	1.0716e+06	1.67069e+06	1.43889e+06
TstrNam	TimbAby	ScafKen	0.0674686	17.2064	2.3e-16	1.06945e+06	1.65955e+06	1.44977e+06
TstrRSA	TimbAby	ScafKen	0.0656191	16.8136	2.3e-16	1.07346e+06	1.65419e+06	1.45047e+06
TstrTan	TimbAby	ScafKen	0.0670138	17.1311	2.3e-16	1.07466e+06	1.65745e+06	1.44926e+06
TstrZam	TimbAby	ScafKen	0.0670271	17.0752	2.3e-16	1.07302e+06	1.65783e+06	1.44955e+06
TstrZim	TimbAby	ScafKen	0.067104	17.0763	2.3e-16	1.07685e+06	1.65637e+06	1.44805e+06
TimbEth	TimbKen	ScafKen	0.00802924	6.11603	9.59345e-10	3.42885e+06	68115.2	67030.1
TimbSom	TimbEth	ScafKen	0.0128472	7.33066	2.29023e-13	3.42802e+06	72170.4	70339.6
TimbTan	TimbEth	ScafKen	0.00301556	2.36238	0.0181581	3.43246e+06	67979	67570.2
TimbEth	TimbUga	ScafKen	0.00761224	5.43239	5.56051e-08	3.44772e+06	62416.1	61473
ToryBot	TimbEth	ScafKen	0.00948003	3.95453	7.66843e-05	1.06844e+06	1.44646e+06	1.41929e+06
ToryEth	TimbEth	ScafKen	0.00851995	3.57431	0.000351149	1.06856e+06	1.44475e+06	1.42034e+06
ToryKen	TimbEth	ScafKen	0.00861565	3.63319	0.000279939	1.06903e+06	1.44459e+06	1.41991e+06
ToryNam	TimbEth	ScafKen	0.00876603	3.64336	0.000269106	1.06882e+06	1.44525e+06	1.42014e+06
ToryRSA	TimbEth	ScafKen	0.00871493	3.52771	0.000419168	1.06952e+06	1.44463e+06	1.41966e+06
ToryTan	TimbEth	ScafKen	0.00886497	3.74464	0.000180656	1.06917e+06	1.44519e+06	1.41979e+06
ToryZam	TimbEth	ScafKen	0.0089595	3.73321	0.000189056	1.06938e+06	1.4456e+06	1.41992e+06
ToryZim	TimbEth	ScafKen	0.0102934	4.35981	1.30175e-05	1.06957e+06	1.44749e+06	1.41799e+06
TscrGha	ScafKen	TimbEth	0.0845013	52.9385	2.3e-16	1.57878e+06	1.30828e+06	1.10441e+06
TimbEth	TspeBot	ScafKen	0.0261694	9.49393	2.3e-16	1.09105e+06	1.47496e+06	1.39974e+06
TimbEth	TspeCam	ScafKen	0.0256003	9.20475	2.3e-16	1.09083e+06	1.47949e+06	1.40563e+06
TimbEth	TspeCon	ScafKen	0.0269755	10.4273	2.3e-16	1.08478e+06	1.47931e+06	1.4016e+06
TimbEth	TspeDRC	ScafKen	0.0255412	9.33839	2.3e-16	1.0901e+06	1.4794e+06	1.40571e+06
TimbEth	TspeGha	ScafKen	0.0270155	10.198	2.3e-16	1.08662e+06	1.47651e+06	1.39884e+06
TimbEth	TspeTan	ScafKen	0.0254557	9.11227	2.3e-16	1.08969e+06	1.47518e+06	1.40194e+06
TimbEth	TspeZam	ScafKen	0.0257589	9.24216	2.3e-16	1.0919e+06	1.47411e+06	1.40007e+06
TstrBot	TimbEth	ScafKen	0.0678991	17.3742	2.3e-16	1.07792e+06	1.65592e+06	1.44535e+06
TstrNA-	TimbEth	ScafKen	0.0753826	19.5489	2.3e-16	1.08199e+06	1.66598e+06	1.43241e+06
TstrNam	TimbEth	ScafKen	0.0682824	17.4524	2.3e-16	1.07985e+06	1.65479e+06	1.44324e+06
TstrRSA	TimbEth	ScafKen	0.0664281	17.0594	2.3e-16	1.08391e+06	1.64941e+06	1.44393e+06
TstrTan	TimbEth	ScafKen	0.0678272	17.3766	2.3e-16	1.08528e+06	1.65267e+06	1.44272e+06
TstrZam	TimbEth	ScafKen	0.0678401	17.3186	2.3e-16	1.08354e+06	1.65306e+06	1.44302e+06
TstrZim	TimbEth	ScafKen	0.0679179	17.3215	2.3e-16	1.08735e+06	1.6516e+06	1.44152e+06
TimbSom	TimbKen	ScafKen	0.0218168	12.6884	2.3e-16	3.43841e+06	68286.6	65370.7
TimbTan	TimbKen	ScafKen	0.0124169	10.7448	2.3e-16	3.45063e+06	60901.5	59407.6
TimbUga	TimbKen	ScafKen	0.00111864	0.66414	0.506601	3.44478e+06	63558.8	63416.8
